transport;station_depart;time_depart;station_arrive;time_arrive;day
429; ќћћ”ЌјЋ№Ќјя ”Ћ;21:01;ѕ–»Ћ” »(—еницкий с/с);21:11;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;21:07;ѕ–»Ћ” »(—еницкий с/с);21:17;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;21:27;ѕ–»Ћ” »(—еницкий с/с);21:37;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;21:38;ѕ–»Ћ” »(—еницкий с/с);21:48;сб вс
279; ќћћ”ЌјЋ№Ќјя ”Ћ;21:42;ѕ–»Ћ” »(—еницкий с/с);21:52;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;22:02;ѕ–»Ћ” »(—еницкий с/с);22:12;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;22:10;ѕ–»Ћ” »(—еницкий с/с);22:20;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;22:29;ѕ–»Ћ” »(—еницкий с/с);22:39;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;22:39;ѕ–»Ћ” »(—еницкий с/с);22:48;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;22:57;ѕ–»Ћ” »(—еницкий с/с);23:07;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;23:29;ѕ–»Ћ” »(—еницкий с/с);23:39;сб вс
429; ќћћ”ЌјЋ№Ќјя ”Ћ;23:29;ѕ–»Ћ” »(—еницкий с/с);23:39;пн вт ср чт пт
429; ќћћ”ЌјЋ№Ќјя ”Ћ;23:59;ѕ–»Ћ” »(—еницкий с/с);0:08;пн вт ср чт пт
